JuLengthTotal,MaDOYrel,JuDateSampled,MaDateSampled,streamid,yearid,dum
88,2,2020-05-19,2019-06-21,1,1,1
112,-42,2020-05-19,2019-05-08,1,1,1
70,33,2020-05-19,2019-07-22,1,1,1
82,-42,2020-05-19,2019-05-08,1,1,1
60,-12,2020-05-19,2019-06-07,1,1,1
66,9,2020-05-19,2019-06-28,1,1,1
74,9,2020-05-19,2019-06-28,1,1,1
81,4,2020-05-19,2019-06-23,1,1,1
80,-18,2020-05-19,2019-06-01,1,1,1
65,14,2020-05-19,2019-07-03,1,1,1
76,9,2020-05-19,2019-06-28,1,1,1
65,-9,2020-05-19,2019-06-10,1,1,1
71,9,2020-05-19,2019-06-28,1,1,1
69,33,2020-05-19,2019-07-22,1,1,1
86,-12,2020-05-19,2019-06-07,1,1,1
85,-12,2020-05-19,2019-06-07,1,1,1
76,4,2020-05-19,2019-06-23,1,1,1
57,19,2020-05-19,2019-07-08,1,1,1
61,9,2020-05-19,2019-06-28,1,1,1
75,-18,2020-05-19,2019-06-01,1,1,1
78,0,2020-05-19,2019-06-19,1,1,1
72,14,2020-05-19,2019-07-03,1,1,1
71,19,2020-05-19,2019-07-08,1,1,1
64,9,2020-05-19,2019-06-28,1,1,1
73,-3,2020-05-19,2019-06-16,1,1,1
76,18,2020-05-19,2019-07-07,1,1,1
96,-12,2020-05-19,2019-06-07,1,1,1
87,-12,2020-05-19,2019-06-07,1,1,1
65,9,2020-05-19,2019-06-28,1,1,1
61,18,2020-05-19,2019-07-07,1,1,1
75,-12,2020-05-19,2019-06-07,1,1,1
82,18,2020-05-19,2019-07-07,1,1,1
65,18,2020-05-19,2019-07-07,1,1,1
73,9,2020-05-19,2019-06-28,1,1,1
74,9,2020-05-19,2019-06-28,1,1,1
68,-12,2020-05-19,2019-06-07,1,1,1
100,19,2020-05-19,2019-07-08,1,1,1
72,-42,2020-05-19,2019-05-08,1,1,1
104,2,2020-05-19,2019-06-21,1,1,1
112,-42,2020-05-19,2019-05-08,1,1,1
70,-12,2020-05-19,2019-06-07,1,1,1
95,18,2020-05-19,2019-07-07,1,1,1
71,14,2020-05-19,2019-07-03,1,1,1
69,9,2020-05-19,2019-06-28,1,1,1
80,9,2020-05-19,2019-06-28,1,1,1
88,-12,2020-05-19,2019-06-07,1,1,1
67,9,2020-05-19,2019-06-28,1,1,1
80,-12,2020-05-19,2019-06-07,1,1,1
77,18,2020-05-19,2019-07-07,1,1,1
92,2,2020-05-19,2019-06-21,1,1,1
87,-42,2020-05-19,2019-05-08,1,1,1
90,2,2020-05-19,2019-06-21,1,1,1
81,-42,2020-05-19,2019-05-08,1,1,1
71,9,2020-05-19,2019-06-28,1,1,1
77,2,2020-05-19,2019-06-21,1,1,1
112,-12,2020-05-19,2019-06-07,1,1,1
80,4,2020-05-19,2019-06-23,1,1,1
65,9,2020-05-19,2019-06-28,1,1,1
59,16,2020-05-19,2019-07-05,1,1,1
77,-42,2020-05-19,2019-05-08,1,1,1
76,18,2020-05-19,2019-07-07,1,1,1
60,9,2020-05-19,2019-06-28,1,1,1
123,-8,2021-05-14,2020-06-10,1,2,2
108,6,2021-05-14,2020-06-24,1,2,2
120,6,2021-05-14,2020-06-24,1,2,2
68,7,2021-05-14,2020-06-25,1,2,2
82,13,2021-05-14,2020-07-01,1,2,2
66,6,2021-05-14,2020-06-24,1,2,2
94,7,2021-05-14,2020-06-25,1,2,2
81,14,2021-05-14,2020-07-02,1,2,2
75,18,2021-05-14,2020-07-06,1,2,2
82,6,2021-05-14,2020-06-24,1,2,2
67,6,2021-05-14,2020-06-24,1,2,2
76,1,2021-05-14,2020-06-19,1,2,2
49,7,2021-05-14,2020-06-25,1,2,2
77,-1,2021-05-14,2020-06-17,1,2,2
81,-18,2021-05-14,2020-05-31,1,2,2
94,-2,2021-05-14,2020-06-16,1,2,2
63,14,2021-05-14,2020-07-02,1,2,2
64,7,2021-05-14,2020-06-25,1,2,2
63,-1,2021-05-14,2020-06-17,1,2,2
84,18,2021-05-14,2020-07-06,1,2,2
83,-18,2021-05-14,2020-05-31,1,2,2
80,-18,2021-05-14,2020-05-31,1,2,2
85,-1,2021-05-14,2020-06-17,1,2,2
86,-4,2021-05-14,2020-06-14,1,2,2
96,6,2021-05-14,2020-06-24,1,2,2
84,-1,2021-05-14,2020-06-17,1,2,2
93,-1,2021-05-14,2020-06-17,1,2,2
75,-17,2021-05-14,2020-06-01,1,2,2
91,-6,2021-05-14,2020-06-12,1,2,2
73,6,2021-05-14,2020-06-24,1,2,2
77,-1,2021-05-14,2020-06-17,1,2,2
90,-18,2021-05-14,2020-05-31,1,2,2
172,6,2021-05-14,2020-06-24,1,2,2
76,6,2021-05-14,2020-06-24,1,2,2
86,-18,2021-05-14,2020-05-31,1,2,2
91,5,2021-05-14,2020-06-23,1,2,2
102,6,2021-05-14,2020-06-24,1,2,2
68,18,2021-05-14,2020-07-06,1,2,2
82,-18,2021-05-14,2020-05-31,1,2,2
83,-18,2021-05-14,2020-05-31,1,2,2
93,-18,2021-05-14,2020-05-31,1,2,2
82,-15,2021-05-14,2020-06-03,1,2,2
88,-18,2021-05-14,2020-05-31,1,2,2
92,-18,2021-05-14,2020-05-31,1,2,2
78,-17,2021-05-14,2020-06-01,1,2,2
80,-1,2021-05-14,2020-06-17,1,2,2
74,-18,2021-05-14,2020-05-31,1,2,2
90,-18,2021-05-14,2020-05-31,1,2,2
68,4,2021-05-14,2020-06-22,1,2,2
92,-2,2021-05-14,2020-06-16,1,2,2
67,7,2021-05-14,2020-06-25,1,2,2
78,18,2021-05-14,2020-07-06,1,2,2
63,7,2021-05-14,2020-06-25,1,2,2
89,-2,2021-05-14,2020-06-16,1,2,2
88,7,2021-05-14,2020-06-25,1,2,2
92,-1,2021-05-14,2020-06-17,1,2,2
79,-18,2021-05-14,2020-05-31,1,2,2
70,2,2021-05-14,2020-06-20,1,2,2
72,5,2021-05-14,2020-06-23,1,2,2
81,2,2021-05-14,2020-06-20,1,2,2
85,4,2020-06-01,2019-07-07,2,1,3
102,0,2020-06-01,2019-07-03,2,1,3
103,20,2020-06-01,2019-07-23,2,1,3
66,10,2020-06-01,2019-07-13,2,1,3
103,-5,2020-06-01,2019-06-28,2,1,3
75,20,2020-06-01,2019-07-23,2,1,3
82,15,2020-06-01,2019-07-18,2,1,3
76,4,2020-06-01,2019-07-07,2,1,3
75,0,2020-06-01,2019-07-03,2,1,3
80,20,2020-06-01,2019-07-23,2,1,3
77,10,2020-06-01,2019-07-13,2,1,3
83,0,2020-06-01,2019-07-03,2,1,3
75,15,2020-06-01,2019-07-18,2,1,3
69,4,2020-06-01,2019-07-07,2,1,3
103,-5,2020-06-01,2019-06-28,2,1,3
96,10,2020-06-01,2019-07-13,2,1,3
105,11,2020-06-01,2019-07-14,2,1,3
70,15,2020-06-01,2019-07-18,2,1,3
70,25,2020-06-01,2019-07-28,2,1,3
75,15,2020-06-01,2019-07-18,2,1,3
71,15,2020-06-01,2019-07-18,2,1,3
64,4,2020-06-01,2019-07-07,2,1,3
84,10,2020-06-01,2019-07-13,2,1,3
86,0,2020-06-01,2019-07-03,2,1,3
80,0,2020-06-01,2019-07-03,2,1,3
82,10,2020-06-01,2019-07-13,2,1,3
69,20,2020-06-01,2019-07-23,2,1,3
79,10,2020-06-01,2019-07-13,2,1,3
74,0,2020-06-01,2019-07-03,2,1,3
87,2,2020-06-01,2019-07-05,2,1,3
74,20,2020-06-01,2019-07-23,2,1,3
80,11,2020-06-01,2019-07-14,2,1,3
83,10,2020-06-01,2019-07-13,2,1,3
75,-5,2020-06-01,2019-06-28,2,1,3
62,25,2020-06-01,2019-07-28,2,1,3
68,10,2020-06-01,2019-07-13,2,1,3
81,0,2020-06-01,2019-07-03,2,1,3
87,11,2020-06-01,2019-07-14,2,1,3
67,10,2020-06-01,2019-07-13,2,1,3
65,10,2020-06-01,2019-07-13,2,1,3
67,0,2020-06-01,2019-07-03,2,1,3
73,0,2020-06-01,2019-07-03,2,1,3
68,-3,2020-06-01,2019-06-30,2,1,3
74,20,2020-06-01,2019-07-23,2,1,3
83,4,2020-06-01,2019-07-07,2,1,3
66,10,2020-06-01,2019-07-13,2,1,3
56,-5,2020-06-01,2019-06-28,2,1,3
